filename,swedish,english,area
BlåMössa.png,blå mössa,blue hat,head
RödMössa.png,röd mössa,red hat,head
TurkosMössa.png,turkos mössa,turquoise hat,head
GulOchGrönKeps.png,gul och grön keps,yellow and green cap,head
RosaOchLilaKeps.png,rosa och lila keps,pink and purple cap,head
RödOchBlåKeps.png,röd och blå keps,red and blue cap,head
GråOchBeigeTröja.png,grå och beige tröja,gray and beige shirt,torso
GrönOchBeigeTröja.png,grön och beige tröja,green and beige shirt,torso
LilaOchBeigeTröja.png,lila och beige tröja,purple and beige shirt,torso
BrunOchGulJacka.png,brun och gul jacka,brown and yellow jacket,torso
LilaOchGulJacka.png,lila och gul jacka,purple and yellow jacket,torso
RödOchGulJacka.png,röd och gul jacka,red and yellow jacket,torso
BlåaJeans.png,blåa jeans,blue jeans,legs
GråaJeans.png,gråa jeans,gray jeans,legs
SvartaJeans.png,svarta jeans,black jeans,legs
VitaByxor.png,vita byxor,white pants,legs
GrönaByxor.png,gröna byxor,green pants,legs
OrangeByxor.png,orange byxor,orange pants,legs
BlåHalsduk.png,blå halsduk,blue scarf,neck
